timestamp,device_id,x,y,z
2024-01-01 00:00:00,1,-0.94,1.92,227.06
2024-01-01 00:01:00,1,-0.18,-0.29,226.3
2024-01-01 00:02:00,1,1.14,-0.19,228.11
2024-01-01 00:03:00,1,0.46,1.54,227.41
2024-01-01 00:04:00,1,1.23,0.37,229.83
2024-01-01 00:05:00,1,-0.16,0.83,229.01
2024-01-01 00:06:00,1,-0.74,-1.52,226.51
2024-01-01 00:07:00,1,-1.42,-1.13,225.07
2024-01-01 00:08:00,1,-0.92,-1.83,229.9
2024-01-01 00:09:00,1,0.41,-0.21,229.04
2024-01-01 00:10:00,1,0.36,-1.83,224.62
2024-01-01 00:11:00,1,0.22,1.96,229.58
2024-01-01 00:12:00,1,0.26,-1.51,229.95
2024-01-01 00:13:00,1,-0.48,-0.47,229.86
2024-01-01 00:14:00,1,-0.19,-0.86,223.36
2024-01-01 00:15:00,1,-1.35,-0.32,226.26
2024-01-01 00:16:00,1,0.18,1.04,229.69
2024-01-01 00:17:00,1,-0.46,0.61,227.28
2024-01-01 00:18:00,1,-0.15,-1.93,224.39
2024-01-01 00:19:00,1,-1.21,-0.45,225.56
2024-01-01 00:20:00,1,-0.91,0.5,227.56
2024-01-01 00:21:00,1,-1.39,1.92,226.13
2024-01-01 00:22:00,1,1.02,-0.59,229.37
2024-01-01 00:23:00,1,1.32,-0.93,226.13
2024-01-01 00:24:00,1,0.75,-1.44,224.36
2024-01-01 00:25:00,1,-1.67,-0.16,228.6
2024-01-01 00:26:00,1,-0.78,1.85,229.55
2024-01-01 00:27:00,1,1.6,-1.39,229.22
2024-01-01 00:28:00,1,-0.01,1.08,228.46
2024-01-01 00:29:00,1,-0.32,-1.11,226.39
2024-01-01 00:30:00,1,1.73,-1.82,226.83
2024-01-01 00:31:00,1,-0.24,0.48,223.49
2024-01-01 00:32:00,1,-1.72,-1.82,227.76
2024-01-01 00:33:00,1,-0.8,-1.17,227.84
2024-01-01 00:34:00,1,-1.24,0.9,229.01
2024-01-01 00:35:00,1,1.91,-0.4,223.06
2024-01-01 00:36:00,1,0.33,0.62,227.49
2024-01-01 00:37:00,1,-0.62,-0.92,224.28
2024-01-01 00:38:00,1,0.72,1.93,227.42
2024-01-01 00:39:00,1,-1.48,-0.5,224.25
2024-01-01 00:40:00,1,-1.37,-0.76,226.18
2024-01-01 00:41:00,1,-0.72,0.54,226.07
2024-01-01 00:42:00,1,0.3,-0.04,224.21
2024-01-01 00:43:00,1,1.59,1.12,227.71
2024-01-01 00:44:00,1,0.7,0.69,223.99
2024-01-01 00:45:00,1,-0.61,-1.91,224.9
2024-01-01 00:46:00,1,1.36,-0.64,225.03
2024-01-01 00:47:00,1,-1.39,1.64,226.27
2024-01-01 00:48:00,1,-0.17,1.2,225.27
2024-01-01 00:49:00,1,-0.71,0.02,227.74
2024-01-01 00:50:00,1,0.37,-1.4,224.7
2024-01-01 00:51:00,1,1.68,0.79,224.24
2024-01-01 00:52:00,1,0.45,1.91,226.62
2024-01-01 00:53:00,1,-0.76,-1.27,224.15
2024-01-01 00:54:00,1,0.76,0.18,228.77
2024-01-01 00:55:00,1,-0.71,1.94,226.14
2024-01-01 00:56:00,1,-0.66,1.29,223.43
2024-01-01 00:57:00,1,-1.09,-0.73,229.55
2024-01-01 00:58:00,1,1.27,-1.01,224.99
2024-01-01 00:59:00,1,0.11,0.02,230.0
2024-01-01 01:00:00,1,1.4,0.3,225.46
2024-01-01 01:01:00,1,-0.86,0.83,223.78
2024-01-01 01:02:00,1,0.84,-0.45,223.53
2024-01-01 01:03:00,1,-1.4,-0.61,223.18
2024-01-01 01:04:00,1,0.58,-0.06,227.79
2024-01-01 01:05:00,1,-1.49,-1.93,226.32
2024-01-01 01:06:00,1,-1.74,0.72,223.71
2024-01-01 01:07:00,1,-0.77,0.18,225.57
2024-01-01 01:08:00,1,-0.95,-1.85,227.57
2024-01-01 01:09:00,1,-0.19,-0.17,223.55
2024-01-01 01:10:00,1,-1.75,-0.69,223.12
2024-01-01 01:11:00,1,-1.06,-0.88,224.65
2024-01-01 01:12:00,1,-1.88,-0.51,228.08
2024-01-01 01:13:00,1,-1.7,-1.19,226.6
2024-01-01 01:14:00,1,-1.43,-1.54,223.1
2024-01-01 01:15:00,1,-1.75,1.7,228.69
2024-01-01 01:16:00,1,-0.16,1.53,224.36
2024-01-01 01:17:00,1,-0.28,0.39,227.34
2024-01-01 01:18:00,1,1.1,-0.2,229.16
2024-01-01 01:19:00,1,-0.59,1.2,224.06
2024-01-01 01:20:00,1,1.96,0.51,227.63
2024-01-01 01:21:00,1,-0.49,1.81,225.94
2024-01-01 01:22:00,1,-1.61,-1.13,226.91
2024-01-01 01:23:00,1,1.17,-0.02,227.64
2024-01-01 01:24:00,1,1.06,-0.39,229.77
2024-01-01 01:25:00,1,-0.92,-1.67,226.16
2024-01-01 01:26:00,1,-1.73,1.38,228.38
2024-01-01 01:27:00,1,1.23,-0.87,223.42
2024-01-01 01:28:00,1,-1.85,0.94,228.85
2024-01-01 01:29:00,1,-1.01,0.83,227.41
2024-01-01 01:30:00,1,-1.82,-0.48,226.59
2024-01-01 01:31:00,1,-0.85,1.57,228.24
2024-01-01 01:32:00,1,-0.07,-1.65,228.88
2024-01-01 01:33:00,1,-0.62,1.53,229.1
2024-01-01 01:34:00,1,1.91,0.01,227.43
2024-01-01 01:35:00,1,0.45,-1.45,227.89
2024-01-01 01:36:00,1,0.36,-1.15,225.58
2024-01-01 01:37:00,1,-1.78,0.31,225.27
2024-01-01 01:38:00,1,0.27,0.06,229.14
2024-01-01 01:39:00,1,-1.73,-1.45,229.62
2024-01-01 01:40:00,1,0.48,1.88,225.17
2024-01-01 01:41:00,1,0.55,-1.81,226.68
2024-01-01 01:42:00,1,0.41,0.48,228.75
2024-01-01 01:43:00,1,-1.29,-0.82,229.44
2024-01-01 01:44:00,1,-0.2,1.46,225.09
2024-01-01 01:45:00,1,-0.6,1.46,223.92
2024-01-01 01:46:00,1,0.34,0.19,224.43
2024-01-01 01:47:00,1,0.11,1.82,224.23
2024-01-01 01:48:00,1,1.21,-1.45,223.04
2024-01-01 01:49:00,1,-0.28,-1.31,229.04
2024-01-01 01:50:00,1,-0.59,1.6,227.31
2024-01-01 01:51:00,1,1.42,0.56,224.92
2024-01-01 01:52:00,1,0.27,1.35,225.35
2024-01-01 01:53:00,1,1.62,0.46,225.78
2024-01-01 01:54:00,1,0.79,-0.54,224.29
2024-01-01 01:55:00,1,1.29,-1.97,229.43
2024-01-01 01:56:00,1,-1.01,0.42,223.04
2024-01-01 01:57:00,1,0.84,0.05,225.65
2024-01-01 01:58:00,1,0.89,-1.71,223.56
2024-01-01 01:59:00,1,-1.95,0.36,228.96
2024-01-01 02:00:00,1,-1.59,0.71,227.55
2024-01-01 02:01:00,1,-1.02,-1.68,223.86
2024-01-01 02:02:00,1,-1.09,0.67,227.52
2024-01-01 02:03:00,1,1.62,0.46,224.59
2024-01-01 02:04:00,1,-0.56,-0.5,226.01
2024-01-01 02:05:00,1,1.72,-1.13,227.82
2024-01-01 02:06:00,1,1.43,0.29,229.64
2024-01-01 02:07:00,1,-0.12,0.05,227.51
2024-01-01 02:08:00,1,0.61,0.59,223.09
2024-01-01 02:09:00,1,-0.89,1.24,224.92
2024-01-01 02:10:00,1,0.18,1.47,223.13
2024-01-01 02:11:00,1,0.43,1.27,226.49
2024-01-01 02:12:00,1,-0.7,0.72,224.23
2024-01-01 02:13:00,1,0.03,-0.63,226.27
2024-01-01 02:14:00,1,-1.25,1.12,228.1
2024-01-01 02:15:00,1,-1.75,-0.87,224.07
2024-01-01 02:16:00,1,-0.25,-1.13,226.22
2024-01-01 02:17:00,1,-0.68,-1.73,228.36
2024-01-01 02:18:00,1,1.77,-1.04,228.48
2024-01-01 02:19:00,1,-1.28,-0.54,228.44
2024-01-01 02:20:00,1,1.33,-0.33,223.19
2024-01-01 02:21:00,1,-0.85,0.86,224.57
2024-01-01 02:22:00,1,0.26,0.01,228.47
2024-01-01 02:23:00,1,-1.52,1.67,225.12
2024-01-01 02:24:00,1,0.96,1.92,229.27
2024-01-01 02:25:00,1,1.21,-1.78,228.29
2024-01-01 02:26:00,1,-1.78,-0.06,228.14
2024-01-01 02:27:00,1,-0.01,-0.82,223.71
2024-01-01 02:28:00,1,-1.7,0.9,224.74
2024-01-01 02:29:00,1,-0.09,-1.09,223.38
2024-01-01 02:30:00,1,-0.47,-1.36,227.4
2024-01-01 02:31:00,1,-0.42,-1.18,225.87
2024-01-01 02:32:00,1,1.84,-0.89,227.17
2024-01-01 02:33:00,1,0.9,1.66,226.65
2024-01-01 02:34:00,1,-0.08,-1.43,229.43
2024-01-01 02:35:00,1,-0.06,0.75,224.45
2024-01-01 02:36:00,1,-0.24,-0.59,223.64
2024-01-01 02:37:00,1,-0.48,0.88,223.69
2024-01-01 02:38:00,1,0.67,-0.67,229.2
2024-01-01 02:39:00,1,0.86,0.25,228.89
2024-01-01 02:40:00,1,-1.53,-0.71,229.63
2024-01-01 02:41:00,1,1.75,-1.3,224.32
2024-01-01 02:42:00,1,-0.13,-1.44,226.4
2024-01-01 02:43:00,1,1.42,-1.96,228.16
2024-01-01 02:44:00,1,1.67,1.3,229.06
2024-01-01 02:45:00,1,-0.21,0.8,228.09
2024-01-01 02:46:00,1,-0.58,-0.32,224.88
2024-01-01 02:47:00,1,1.48,-0.91,226.45
2024-01-01 02:48:00,1,-1.87,1.63,227.98
2024-01-01 02:49:00,1,-0.57,0.22,223.95
2024-01-01 02:50:00,1,0.15,0.1,229.05
2024-01-01 02:51:00,1,1.28,-1.81,227.94
2024-01-01 02:52:00,1,-0.94,0.03,223.26
2024-01-01 02:53:00,1,2.0,0.33,228.43
2024-01-01 02:54:00,1,1.8,-0.75,224.35
2024-01-01 02:55:00,1,-0.69,-1.24,223.95
2024-01-01 02:56:00,1,1.43,-1.32,225.86
2024-01-01 02:57:00,1,-0.69,0.02,228.08
2024-01-01 02:58:00,1,1.06,0.05,226.66
2024-01-01 02:59:00,1,-0.09,0.34,228.91
2024-01-01 03:00:00,1,1.26,-1.21,226.39
2024-01-01 03:01:00,1,1.75,-1.45,229.03
2024-01-01 03:02:00,1,-0.46,0.96,224.65
2024-01-01 03:03:00,1,1.32,-1.66,223.36
2024-01-01 03:04:00,1,1.15,1.89,226.53
2024-01-01 03:05:00,1,-1.17,0.8,229.82
2024-01-01 03:06:00,1,1.88,-0.32,228.74
2024-01-01 03:07:00,1,-1.33,0.66,228.65
2024-01-01 03:08:00,1,-1.0,1.38,229.54
2024-01-01 03:09:00,1,-0.69,0.5,224.84
2024-01-01 03:10:00,1,-0.65,0.05,225.62
2024-01-01 03:11:00,1,0.11,-1.47,224.38
2024-01-01 03:12:00,1,-1.35,0.02,224.87
2024-01-01 03:13:00,1,-1.7,-1.79,223.62
2024-01-01 03:14:00,1,0.55,-0.93,223.83
2024-01-01 03:15:00,1,-1.95,-0.42,224.95
2024-01-01 03:16:00,1,-1.79,0.5,223.4
2024-01-01 03:17:00,1,-1.31,-1.07,226.39
2024-01-01 03:18:00,1,-0.08,-0.69,225.7
2024-01-01 03:19:00,1,-1.84,-1.84,227.85
2024-01-01 03:20:00,1,-1.26,-1.51,224.38
2024-01-01 03:21:00,1,-1.24,1.09,226.97
2024-01-01 03:22:00,1,-1.56,-1.97,228.91
2024-01-01 03:23:00,1,-0.9,-1.9,226.89
2024-01-01 03:24:00,1,1.08,-1.41,223.9
2024-01-01 03:25:00,1,0.11,-1.64,229.5
2024-01-01 03:26:00,1,0.53,1.28,227.93
2024-01-01 03:27:00,1,-1.22,0.8,224.65
2024-01-01 03:28:00,1,-1.03,-0.76,224.7
2024-01-01 03:29:00,1,0.99,-1.23,225.12
2024-01-01 03:30:00,1,1.98,1.23,225.76
2024-01-01 03:31:00,1,1.64,1.22,226.06
2024-01-01 03:32:00,1,-1.69,-0.66,228.81
2024-01-01 03:33:00,1,-0.18,1.63,229.45
2024-01-01 03:34:00,1,0.01,-1.42,227.93
2024-01-01 03:35:00,1,1.72,-0.12,228.3
2024-01-01 03:36:00,1,-1.35,-1.19,227.22
2024-01-01 03:37:00,1,0.9,1.58,224.44
2024-01-01 03:38:00,1,-1.71,-0.41,229.69
2024-01-01 03:39:00,1,-0.46,1.46,229.18
2024-01-01 03:40:00,1,1.58,0.54,225.39
2024-01-01 03:41:00,1,1.24,1.88,227.4
2024-01-01 03:42:00,1,-0.78,-1.77,225.85
2024-01-01 03:43:00,1,-1.67,1.2,228.91
2024-01-01 03:44:00,1,1.57,-0.28,229.47
2024-01-01 03:45:00,1,1.66,1.6,228.62
2024-01-01 03:46:00,1,-1.21,-0.34,223.85
2024-01-01 03:47:00,1,-0.08,1.56,228.83
2024-01-01 03:48:00,1,0.48,0.63,228.47
2024-01-01 03:49:00,1,1.91,0.65,223.29
2024-01-01 03:50:00,1,-0.29,0.59,227.65
2024-01-01 03:51:00,1,-0.26,0.32,224.99
2024-01-01 03:52:00,1,1.26,-1.11,229.89
2024-01-01 03:53:00,1,-1.31,-0.97,224.25
2024-01-01 03:54:00,1,1.25,1.7,225.88
2024-01-01 03:55:00,1,-0.17,1.12,228.25
2024-01-01 03:56:00,1,-0.79,1.35,224.19
2024-01-01 03:57:00,1,1.19,-1.03,223.4
2024-01-01 03:58:00,1,0.18,0.47,224.88
2024-01-01 03:59:00,1,-0.15,1.77,229.98
2024-01-01 04:00:00,1,1.78,-1.08,226.16
2024-01-01 04:01:00,1,1.5,-0.98,229.35
2024-01-01 04:02:00,1,-0.43,0.34,224.94
2024-01-01 04:03:00,1,-1.14,1.9,225.85
2024-01-01 04:04:00,1,1.33,0.71,228.02
2024-01-01 04:05:00,1,1.76,-1.32,227.64
2024-01-01 04:06:00,1,-1.16,-0.12,223.03
2024-01-01 04:07:00,1,1.66,-1.61,224.83
2024-01-01 04:08:00,1,-0.09,0.0,226.04
2024-01-01 04:09:00,1,-0.43,-1.38,223.81
