timestamp,device_id,x,y,z,true_label
2024-01-01 00:00:00,1,-1.9,1.62,227.25,1
2024-01-01 00:01:00,1,1.42,1.89,225.16,1
2024-01-01 00:02:00,1,0.08,1.82,223.7,1
2024-01-01 00:03:00,1,0.29,-1.77,229.05,1
2024-01-01 00:04:00,1,1.08,1.54,228.76,1
2024-01-01 00:05:00,1,1.71,1.18,223.44,1
2024-01-01 00:06:00,1,-1.43,-0.92,225.13,1
2024-01-01 00:07:00,1,1.51,-0.5,228.85,1
2024-01-01 00:08:00,1,-1.75,0.12,225.37,1
2024-01-01 00:09:00,1,-0.3,-0.51,227.44,1
2024-01-01 00:10:00,1,2.0,-1.55,227.75,1
2024-01-01 00:11:00,1,1.25,1.1,228.22,1
2024-01-01 00:12:00,1,0.66,-1.28,228.8,1
2024-01-01 00:13:00,1,1.44,-1.41,224.91,1
2024-01-01 00:14:00,1,-0.86,-1.12,229.23,1
2024-01-01 00:15:00,1,0.28,-1.07,225.37,1
2024-01-01 00:16:00,1,1.08,0.6,224.54,1
2024-01-01 00:17:00,1,0.03,-1.57,229.23,1
2024-01-01 00:18:00,1,-0.98,0.4,225.71,1
2024-01-01 00:19:00,1,-0.84,1.06,228.84,1
2024-01-01 00:20:00,1,1.62,-1.62,229.76,1
2024-01-01 00:21:00,1,-1.82,-0.45,227.07,1
2024-01-01 00:22:00,1,-0.93,-1.76,229.99,1
2024-01-01 00:23:00,1,-1.93,-1.09,226.07,1
2024-01-01 00:24:00,1,1.35,-1.13,226.39,1
2024-01-01 00:25:00,1,-1.23,0.57,226.25,1
2024-01-01 00:26:00,1,-0.9,0.68,227.14,1
2024-01-01 00:27:00,1,-0.48,-0.49,228.32,1
2024-01-01 00:28:00,1,0.56,-0.47,229.18,1
2024-01-01 00:29:00,1,1.15,-0.44,228.7,1
2024-01-01 00:30:00,1,-0.87,1.83,224.14,1
2024-01-01 00:31:00,1,1.48,1.78,229.02,1
2024-01-01 00:32:00,1,-1.08,-1.22,224.08,1
2024-01-01 00:33:00,1,0.38,-1.63,223.35,1
2024-01-01 00:34:00,1,0.13,1.03,225.52,1
2024-01-01 00:35:00,1,1.3,-0.38,223.92,1
2024-01-01 00:36:00,1,0.01,1.55,229.73,1
2024-01-01 00:37:00,1,-1.93,-1.31,229.57,1
2024-01-01 00:38:00,1,-0.43,-1.42,227.84,1
2024-01-01 00:39:00,1,-0.76,1.21,226.0,1
2024-01-01 00:40:00,1,-0.96,-1.6,225.49,1
2024-01-01 00:41:00,1,-1.76,1.51,228.48,1
2024-01-01 00:42:00,1,0.64,-1.57,228.45,1
2024-01-01 00:43:00,1,-0.49,0.73,227.09,1
2024-01-01 00:44:00,1,-1.37,-0.3,225.69,1
2024-01-01 00:45:00,1,1.54,0.21,226.29,1
2024-01-01 00:46:00,1,1.67,0.78,227.34,1
2024-01-01 00:47:00,1,1.26,1.76,228.93,1
2024-01-01 00:48:00,1,0.26,-1.8,226.99,1
2024-01-01 00:49:00,1,0.32,1.97,223.57,1
2024-01-01 00:50:00,1,0.72,1.09,224.27,1
2024-01-01 00:51:00,1,-0.66,-1.17,225.95,1
2024-01-01 00:52:00,1,-0.53,0.5,228.45,1
2024-01-01 00:53:00,1,0.81,0.22,224.29,1
2024-01-01 00:54:00,1,-0.51,0.88,223.16,1
2024-01-01 00:55:00,1,-1.76,-1.57,228.31,1
2024-01-01 00:56:00,1,-1.67,1.83,226.25,1
2024-01-01 00:57:00,1,1.57,0.65,228.95,1
2024-01-01 00:58:00,1,-0.92,0.43,228.93,1
2024-01-01 00:59:00,1,1.09,0.56,229.78,1
2024-01-01 01:00:00,1,0.26,-0.09,228.52,1
2024-01-01 01:01:00,1,-0.9,-0.02,223.11,1
2024-01-01 01:02:00,1,-0.91,1.56,223.13,1
2024-01-01 01:03:00,1,-1.89,0.15,223.48,1
2024-01-01 01:04:00,1,1.67,0.71,229.31,1
